Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,25,MIL,NBA,SG,82,82,3129,7.2,15.1,.480,2.3,5.4,.433,4.9,9.7,.506,4.0,4.5,.888,1.2,3.8,4.9,4.3,1.4,0.2,2.3,2.2,20.8
2001-02,26,MIL,NBA,SG,69,67,2525,7.6,16.4,.462,3.3,7.5,.434,4.3,8.8,.485,3.1,3.5,.873,1.2,3.3,4.4,3.9,1.3,0.3,2.3,2.2,21.4
2002-03,27,TOT,NBA,SG,76,75,2880,7.5,17.0,.439,2.5,6.7,.377,5.0,10.4,.478,3.9,4.3,.916,1.2,3.6,4.8,4.2,1.3,0.2,2.5,2.7,21.4
2003-04,28,SEA,NBA,SG,56,56,2152,7.5,17.0,.440,2.5,6.3,.392,5.0,10.7,.468,4.1,4.5,.904,1.2,3.6,4.8,4.5,1.2,0.2,2.6,2.2,21.5
2004-05,29,SEA,NBA,SG,78,78,3064,7.5,17.6,.428,2.5,6.5,.376,5.1,11.0,.459,4.4,5.0,.883,0.9,3.1,4.1,3.4,1.0,0.1,2.0,2.0,21.9
2005-06,30,SEA,NBA,SG,78,78,3022,8.1,17.9,.454,3.2,7.8,.412,4.9,10.1,.486,3.9,4.3,.903,0.8,3.1,4.0,3.4,1.3,0.2,2.2,1.8,23.3
2006-07,31,SEA,NBA,SG,55,55,2219,8.2,18.7,.438,2.7,7.2,.372,5.5,11.5,.479,4.5,5.0,.903,0.9,3.1,4.0,3.7,1.3,0.2,2.5,1.8,23.6
2007-08,32,BOS,NBA,SG,73,73,2624,6.0,13.5,.445,2.5,6.2,.398,3.6,7.3,.485,2.9,3.3,.907,1.0,2.6,3.7,3.1,0.9,0.2,1.7,2.0,17.5
2008-09,33,BOS,NBA,SG,79,79,2876,6.2,13.0,.480,2.5,6.1,.409,3.8,6.9,.542,3.0,3.1,.952,0.8,2.7,3.5,2.7,0.9,0.2,1.7,2.0,17.9
2009-10,34,BOS,NBA,SG,80,80,2819,5.9,12.4,.477,1.9,5.1,.363,4.1,7.3,.556,2.9,3.2,.913,0.6,2.7,3.2,2.7,0.8,0.3,1.6,2.3,16.7
