Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,24,MIN,NBA,SG,77,33,1790,5.0,11.8,.422,1.5,3.9,.376,3.5,7.9,.445,2.9,3.4,.842,0.6,2.5,3.2,5.2,1.0,0.2,2.2,3.6,14.3
2001-02,25,MIN,NBA,PG,82,54,2355,5.3,12.6,.423,1.9,4.8,.394,3.4,7.8,.441,3.2,3.6,.885,0.5,2.9,3.5,6.9,1.0,0.3,2.1,2.6,15.7
2002-03,26,DET,NBA,PG,74,74,2327,5.7,13.5,.421,2.3,5.9,.392,3.4,7.6,.443,4.9,5.6,.878,0.6,3.6,4.2,4.4,1.0,0.2,2.1,2.1,18.5
2003-04,27,DET,NBA,PG,78,78,2758,5.1,13.0,.394,1.7,4.4,.388,3.4,8.6,.396,5.3,6.0,.878,0.5,3.1,3.6,5.8,1.1,0.1,2.5,2.3,17.2
2004-05,28,DET,NBA,PG,80,80,2866,5.1,11.5,.442,2.1,4.9,.426,3.0,6.6,.454,4.3,4.8,.898,0.6,2.8,3.4,5.8,1.0,0.1,2.3,2.4,16.5
2005-06,29,DET,NBA,PG,81,81,2925,5.2,12.5,.418,2.3,5.2,.433,2.9,7.2,.407,5.7,6.4,.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0,18.4
2006-07,30,DET,NBA,PG,70,70,2533,4.9,11.6,.427,1.5,4.5,.345,3.4,7.1,.479,5.5,6.2,.883,0.3,3.0,3.4,7.1,1.2,0.2,2.0,2.3,16.9
2007-08,31,DET,NBA,PG,78,78,2522,5.6,12.5,.448,2.0,4.9,.401,3.7,7.6,.479,5.7,6.2,.918,0.6,2.4,3.0,7.6,1.4,0.2,2.3,1.9,18.9
2008-09,32,TOT,NBA,PG,79,79,2789,5.3,12.6,.418,2.1,5.1,.408,3.2,7.5,.425,5.4,5.9,.913,0.4,2.7,3.1,6.5,1.2,0.2,2.3,2.1,18.1
2009-10,33,DEN,NBA,PG,73,73,2490,5.8,13.9,.418,2.3,5.9,.386,3.5,8.0,.441,6.7,7.4,.910,0.4,2.9,3.3,5.9,1.2,0.1,2.6,2.2,20.6
