Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,22,LAL,NBA,SG,68,68,2783,9.1,19.5,.464,0.8,2.6,.305,8.3,16.9,.489,6.1,7.2,.853,1.3,3.8,5.2,4.4,1.5,0.6,2.8,2.9,25.1
2001-02,23,LAL,NBA,SG,80,80,3063,8.8,18.8,.469,0.4,1.6,.250,8.4,17.2,.489,5.7,6.9,.829,1.3,3.9,5.2,5.1,1.4,0.4,2.6,2.7,23.7
2002-03,24,LAL,NBA,SG,82,82,3401,9.2,20.4,.451,1.3,3.4,.383,7.9,16.9,.465,6.4,7.5,.843,1.1,4.8,6.0,5.1,1.9,0.7,3.0,2.3,26.0
2003-04,25,LAL,NBA,SG,65,64,2447,7.6,17.3,.438,1.0,3.2,.327,6.5,14.1,.463,6.7,7.8,.852,1.5,3.8,5.3,4.9,1.6,0.4,2.5,2.6,22.9
2004-05,26,LAL,NBA,SG,66,66,2689,7.7,17.7,.433,1.8,5.2,.339,5.9,12.5,.472,7.3,8.9,.816,1.3,4.0,5.2,5.3,1.2,0.7,3.6,2.3,24.4
2005-06,27,LAL,NBA,SG,80,80,3277,10.7,23.9,.450,2.0,5.7,.347,8.8,18.2,.482,7.6,9.0,.850,0.8,3.9,4.7,4.0,1.6,0.3,2.7,2.6,31.1
2006-07,28,LAL,NBA,SG,77,77,3140,9.3,20.1,.463,1.6,4.6,.344,7.8,15.6,.497,7.6,8.8,.868,0.9,4.2,5.0,4.7,1.3,0.4,2.9,2.4,27.9
2007-08,29,LAL,NBA,SG,82,82,3192,8.7,19.1,.459,1.7,4.7,.361,7.0,14.4,.490,7.0,8.4,.840,1.1,4.8,5.8,5.0,1.7,0.5,2.9,2.6,26.2
2008-09,30,LAL,NBA,SG,82,82,2960,9.7,20.8,.467,1.4,4.1,.351,8.3,16.7,.496,5.9,6.9,.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8
2009-10,31,LAL,NBA,SG,73,73,2835,9.1,19.9,.456,1.3,3.8,.329,7.8,16.1,.487,5.6,6.9,.811,1.0,4.0,5.0,4.6,1.4,0.3,3.0,2.4,25.0
