Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,24,SAS,NBA,PF,82,82,3174,8.0,15.9,.499,0.1,0.3,.259,7.9,15.6,.504,4.6,7.5,.618,2.9,8.4,11.3,2.8,0.8,2.2,2.7,2.8,20.6
2001-02,25,SAS,NBA,PF,82,82,3329,8.3,16.3,.508,0.0,0.1,.100,8.3,16.2,.511,6.1,7.6,.799,2.9,8.4,11.3,3.3,0.7,2.2,2.8,2.3,22.6
2002-03,26,SAS,NBA,PF,81,81,3181,8.1,15.8,.513,0.1,0.2,.273,8.0,15.5,.517,5.1,7.2,.710,2.9,8.9,11.8,3.6,0.6,2.7,2.8,2.6,21.3
2003-04,27,SAS,NBA,PF,69,68,2527,8.4,16.8,.501,0.0,0.2,.167,8.4,16.7,.505,5.0,8.4,.599,3.2,9.0,12.2,3.0,0.9,2.6,2.6,2.3,21.9
2004-05,28,SAS,NBA,PF,66,66,2203,8.4,17.0,.496,0.0,0.1,.333,8.4,16.9,.498,5.0,7.4,.670,3.3,8.7,12.0,2.9,0.7,2.8,2.1,2.4,21.9
2005-06,29,SAS,NBA,PF,80,80,2784,7.4,15.3,.484,0.0,0.1,.400,7.4,15.3,.485,4.3,6.9,.629,3.0,8.4,11.4,3.3,0.9,2.1,2.6,2.8,19.2
2006-07,30,SAS,NBA,C,80,80,2726,8.2,14.9,.546,0.0,0.1,.111,8.1,14.8,.550,4.8,7.5,.637,2.8,8.4,11.2,3.6,0.9,2.5,3.0,2.7,21.1
2007-08,31,SAS,NBA,C,78,78,2651,7.9,16.0,.497,0.0,0.1,.000,7.9,15.9,.498,4.6,6.3,.730,3.2,8.7,12.0,3.0,0.8,2.1,2.4,2.5,20.5
2008-09,32,SAS,NBA,C,75,75,2524,8.0,15.8,.504,0.0,0.0,.000,8.0,15.8,.505,4.8,6.9,.692,2.9,8.5,11.4,3.8,0.5,1.8,2.4,2.5,20.7
2009-10,33,SAS,NBA,C,78,77,2438,8.3,16.0,.518,0.0,0.2,.182,8.3,15.8,.522,4.0,5.5,.725,3.3,8.4,11.6,3.6,0.7,1.7,2.1,2.2,20.6
