Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,25,PHI,NBA,SG,71,71,2979,9.2,21.9,.420,1.2,3.7,.320,8.0,18.2,.441,7.1,8.7,.814,0.6,2.7,3.3,3.9,2.2,0.2,2.9,1.8,26.7
2001-02,26,PHI,NBA,SG,60,59,2622,9.1,22.9,.398,1.1,3.7,.291,8.1,19.2,.419,6.5,8.0,.812,0.6,3.1,3.7,4.5,2.3,0.2,3.3,1.4,25.9
2002-03,27,PHI,NBA,SG,82,82,3485,8.3,20.0,.414,0.9,3.1,.277,7.4,16.9,.440,5.9,7.6,.774,0.7,2.9,3.6,4.7,2.3,0.1,3.0,1.5,23.4
2003-04,28,PHI,NBA,SG,48,47,2040,7.7,19.9,.387,1.0,3.5,.286,6.7,16.3,.408,6.0,8.0,.745,0.6,2.5,3.1,5.7,2.0,0.1,3.7,1.5,22.3
2004-05,29,PHI,NBA,PG,75,75,3174,8.7,20.6,.424,1.2,3.8,.308,7.6,16.8,.451,7.4,8.9,.835,0.6,2.8,3.4,6.8,2.0,0.1,3.9,1.6,26.1
2005-06,30,PHI,NBA,PG,72,72,3103,9.5,21.1,.447,0.8,2.6,.323,8.6,18.6,.465,7.8,9.6,.814,0.5,2.2,2.7,6.2,1.6,0.1,2.9,1.4,27.6
2006-07,31,TOT,NBA,SG-PG,65,64,2761,7.6,17.1,.442,0.8,2.6,.315,6.8,14.6,.465,6.3,8.0,.795,0.3,2.2,2.5,6.1,1.6,0.2,3.5,1.2,22.3
2007-08,32,DEN,NBA,SG,82,82,3424,7.5,16.4,.458,1.0,2.9,.345,6.5,13.5,.482,6.8,8.4,.809,0.5,2.1,2.6,6.2,1.7,0.1,2.6,1.1,22.8
2008-09,33,TOT,NBA,PG-SG,57,53,2093,6.0,14.3,.417,0.5,1.7,.283,5.5,12.6,.435,4.7,6.0,.781,0.5,2.5,3.0,4.9,1.5,0.1,2.5,1.5,17.1
2009-10,34,TOT,NBA,SG-PG,28,24,865,5.7,13.2,.430,0.4,1.0,.360,5.3,12.1,.436,4.3,5.5,.794,0.7,2.6,3.3,4.7,0.8,0.1,2.7,2.0,16.0
