Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,22,PHO,NBA,SF,79,79,2857,7.0,14.6,.480,0.3,1.0,.256,6.8,13.6,.497,2.9,3.6,.810,2.8,7.9,10.7,2.0,1.7,1.4,1.6,2.7,17.3
2001-02,23,PHO,NBA,SF,81,81,3109,7.6,16.2,.469,0.6,1.4,.393,7.0,14.7,.476,2.2,2.6,.845,2.4,6.9,9.3,1.9,1.7,1.0,1.7,2.5,17.9
2002-03,24,PHO,NBA,SF,81,81,3373,7.1,15.6,.452,1.5,3.9,.387,5.6,11.8,.473,2.7,3.1,.851,2.1,6.1,8.3,2.1,2.0,1.0,1.7,2.2,18.3
2003-04,25,PHO,NBA,SF,79,79,3217,6.6,15.0,.440,1.0,3.0,.340,5.6,12.0,.465,2.6,3.0,.851,2.4,5.9,8.2,2.4,1.9,1.2,1.7,2.3,16.8
2004-05,26,PHO,NBA,PF,81,81,3146,7.0,14.8,.476,1.3,3.9,.334,5.7,10.8,.526,2.6,3.1,.833,2.7,7.8,10.5,1.8,1.9,1.4,1.4,2.3,18.0
2005-06,27,PHO,NBA,PF,81,81,3263,7.9,15.1,.525,1.1,3.2,.331,6.8,11.9,.577,2.7,3.3,.809,2.7,7.8,10.6,1.6,1.8,1.5,1.4,2.5,19.5
2006-07,28,PHO,NBA,SF,80,80,3010,6.7,12.8,.524,1.0,3.0,.317,5.8,9.8,.587,2.4,3.0,.810,2.1,7.3,9.4,1.6,1.9,1.5,1.4,2.6,16.8
2007-08,29,TOT,NBA,PF,63,62,2315,6.2,12.2,.508,1.0,3.1,.333,5.2,9.2,.567,1.6,2.3,.707,2.1,7.9,10.0,2.1,1.9,1.3,1.3,2.3,15.1
2008-09,30,TOT,NBA,SF,69,68,2470,5.6,11.5,.485,0.1,0.8,.189,5.4,10.7,.506,1.7,2.1,.796,2.6,6.0,8.6,2.0,1.3,1.0,1.5,1.9,13.0
2009-10,31,DAL,NBA,SF,75,75,2385,6.0,11.7,.508,0.0,0.3,.158,5.9,11.5,.516,1.6,2.1,.755,2.4,4.8,7.2,1.6,1.0,0.9,1.5,2.1,13.6
