Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,21,ORL,NBA,SG,77,77,3087,9.2,20.1,.457,0.7,1.9,.355,8.5,18.2,.468,5.0,6.8,.733,2.2,4.5,6.8,4.1,1.4,1.4,2.3,1.9,24.1
2001-02,22,ORL,NBA,SG,76,76,2912,8.8,19.6,.451,1.3,3.5,.364,7.6,16.1,.470,5.1,6.9,.748,1.9,5.5,7.4,4.9,1.5,0.9,2.3,1.7,24.1
2002-03,23,ORL,NBA,SG,75,74,2954,10.1,22.1,.457,2.1,5.5,.386,8.0,16.6,.481,7.0,8.8,.793,1.5,4.5,5.9,5.0,1.5,0.7,2.4,1.9,29.3
2003-04,24,ORL,NBA,SG,67,67,2675,8.8,21.1,.417,2.3,6.9,.339,6.4,14.2,.455,5.4,6.7,.796,1.3,4.1,5.4,5.0,1.3,0.6,2.4,1.7,25.3
2004-05,25,HOU,NBA,SF,78,78,3182,8.1,18.8,.431,1.6,4.9,.326,6.5,13.9,.468,4.9,6.3,.774,0.8,4.7,5.5,5.1,1.5,0.6,2.3,1.9,22.7
2005-06,26,HOU,NBA,SF,47,47,1745,8.5,20.9,.406,1.5,4.8,.312,7.0,16.0,.434,5.2,7.0,.747,0.9,5.4,6.3,4.6,1.2,0.8,2.5,1.8,23.7
2006-07,27,HOU,NBA,SG,71,71,2539,9.0,21.0,.431,1.8,5.4,.331,7.3,15.6,.466,4.9,6.9,.707,0.8,4.6,5.4,6.5,1.3,0.5,3.0,1.9,24.8
2007-08,28,HOU,NBA,SG,66,62,2440,8.1,19.3,.419,1.3,4.4,.292,6.8,14.9,.457,3.6,5.3,.684,0.6,4.4,5.0,5.7,1.0,0.4,2.4,1.3,21.1
2008-09,29,HOU,NBA,SG,35,35,1181,5.7,14.8,.388,1.3,3.6,.376,4.4,11.2,.391,3.8,4.8,.801,0.6,4.1,4.7,5.3,1.3,0.5,2.1,1.2,16.6
2009-10,30,TOT,NBA,SG,30,24,673,4.9,12.6,.387,0.9,3.4,.250,4.0,9.1,.439,2.5,3.4,.746,1.2,3.9,5.0,5.3,0.8,0.7,2.4,2.1,13.1
