Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,26,DAL,NBA,PG,70,70,2387,5.8,11.9,.487,1.3,3.3,.406,4.5,8.6,.518,3.5,3.9,.895,0.7,2.7,3.4,7.7,1.1,0.1,3.1,2.4,16.5
2001-02,27,DAL,NBA,PG,82,82,2837,6.7,13.8,.483,2.0,4.4,.455,4.7,9.5,.495,3.3,3.7,.887,0.6,2.6,3.2,8.0,0.7,0.1,2.9,2.1,18.6
2002-03,28,DAL,NBA,PG,82,82,2711,6.9,14.8,.465,1.5,3.6,.413,5.4,11.2,.482,4.1,4.5,.909,0.8,2.3,3.1,7.9,1.1,0.1,2.5,1.8,19.3
2003-04,29,DAL,NBA,PG,78,78,2612,5.5,11.6,.470,1.4,3.5,.405,4.0,8.1,.498,3.2,3.5,.916,0.8,2.4,3.2,9.5,0.9,0.1,2.9,1.9,15.5
2004-05,30,PHO,NBA,PG,75,75,2573,6.0,12.0,.502,1.3,3.1,.431,4.7,8.9,.526,3.0,3.3,.887,0.8,2.7,3.5,12.0,1.0,0.1,3.4,1.9,16.3
2005-06,31,PHO,NBA,PG,79,79,2796,7.0,13.6,.512,1.9,4.4,.439,5.0,9.2,.548,3.3,3.6,.921,0.6,3.7,4.3,10.6,0.8,0.2,3.6,1.5,19.2
2006-07,32,PHO,NBA,PG,76,76,2682,6.9,13.0,.532,2.1,4.6,.455,4.8,8.4,.575,3.0,3.3,.899,0.4,3.2,3.6,11.9,0.8,0.1,3.9,1.6,19.0
2007-08,33,PHO,NBA,PG,81,81,2780,6.3,12.5,.504,2.3,4.9,.470,4.0,7.5,.527,2.9,3.2,.906,0.4,3.3,3.7,11.6,0.7,0.1,3.8,1.5,17.8
2008-09,34,PHO,NBA,PG,74,74,2484,6.2,12.3,.503,1.6,3.6,.439,4.6,8.8,.529,2.8,3.0,.933,0.3,3.0,3.2,10.4,0.8,0.1,3.6,1.6,16.8
2009-10,35,PHO,NBA,PG,81,81,2660,6.8,13.3,.507,1.7,3.9,.426,5.1,9.4,.540,2.9,3.0,.938,0.5,3.2,3.6,12.1,0.6,0.2,4.0,1.5,18.0
