Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,27,PHO,NBA,PG,77,76,3065,5.3,12.9,0.411,0.8,2.7,0.297,4.5,10.2,0.442,3.9,4.7,0.814,1.1,4.7,5.8,8.8,1.9,0.3,3.4,2,15.3
2001-02,28,NJN,NBA,PG,82,82,3056,5.2,13.4,0.391,1.4,4.3,0.321,3.9,9.1,0.424,2.4,2.9,0.814,1.5,5.5,7,9.5,2.1,0.2,3.4,1.6,14.2
2002-03,29,NJN,NBA,PG,80,80,2989,6.2,15,0.414,1.5,4.5,0.341,4.7,10.5,0.445,4.1,4.9,0.841,1.3,4.7,6.1,8.6,2.2,0.3,3.6,1.5,18
2003-04,30,NJN,NBA,PG,67,66,2450,5.4,14.1,0.384,1.4,4.3,0.321,4,9.8,0.411,3,3.7,0.827,1.2,5,6.3,9.1,1.8,0.2,3.1,1.6,15.2
2004-05,31,NJN,NBA,PG,66,65,2435,5,12.6,0.398,1.9,5.3,0.36,3.1,7.3,0.425,2.1,2.8,0.74,1.4,5.8,7.2,8.1,1.8,0.1,2.5,1.6,14.1
2005-06,32,NJN,NBA,PG,80,80,2975,4.4,11,0.404,1.7,4.8,0.352,2.7,6.2,0.445,2.3,3,0.795,1,6,7,8.1,1.8,0.4,2.3,1.9,12.9
2006-07,33,NJN,NBA,PG,80,80,2933,4.5,11.1,0.406,1.5,4.4,0.343,3,6.7,0.448,2.2,2.8,0.778,1.7,6.4,8,9,1.6,0.3,2.6,1.8,12.8
2007-08,34,TOT,NBA,PG,80,80,2906,3.8,9.8,0.385,1.5,3.9,0.381,2.3,6,0.387,1.7,2,0.818,1.2,6.3,7.4,10,1.7,0.3,3.3,2,10.7
2008-09,35,DAL,NBA,PG,81,81,2886,3.2,7.7,0.416,1.6,4,0.406,1.6,3.7,0.427,1.1,1.3,0.819,1.1,5.2,6.2,8.8,2,0.5,2.3,2.1,9.1
2009-10,36,DAL,NBA,PG,80,80,2881,3.5,8.4,0.423,2.2,5.2,0.425,1.3,3.2,0.42,1,1.2,0.808,0.6,5,5.6,9,1.8,0.4,2.4,1.8,10.3
