Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,23,BOS,NBA,SF,82,82,3120,7.9,17.5,.454,1.7,4.4,.383,6.2,13.0,.478,6.3,8.5,.745,1.1,4.9,6.0,2.9,1.6,0.8,3.0,2.9,23.9
2001-02,24,BOS,NBA,SG,82,82,3302,7.7,17.4,.442,2.3,5.7,.404,5.4,11.8,.461,5.7,7.0,.809,0.9,5.3,6.2,2.8,1.7,0.9,2.6,2.6,23.4
2002-03,25,BOS,NBA,SG,79,79,3096,7.7,18.5,.416,1.4,4.5,.302,6.3,14.0,.454,7.0,8.8,.802,1.2,5.5,6.7,4.1,1.6,0.7,3.3,2.6,23.8
2003-04,26,BOS,NBA,SG,80,80,3099,7.0,17.4,.402,1.3,4.5,.299,5.7,12.9,.438,6.0,7.3,.819,0.8,5.3,6.1,4.8,1.5,0.6,3.5,2.7,21.3
2004-05,27,BOS,NBA,SF,82,82,2960,6.8,14.9,.455,1.3,3.6,.370,5.4,11.3,.481,6.7,8.1,.822,0.9,5.6,6.6,4.2,1.6,0.5,2.8,3.1,21.5
2005-06,28,BOS,NBA,SF,79,79,3084,8.0,17.1,.471,1.3,3.7,.354,6.7,13.4,.503,7.3,9.5,.772,0.9,5.3,6.2,4.4,1.2,0.4,3.2,2.6,24.7
2006-07,29,BOS,NBA,SG,47,46,1740,7.7,17.6,.439,2.2,5.7,.389,5.5,11.9,.463,6.6,8.3,.796,0.8,4.9,5.7,4.0,1.0,0.3,3.1,2.5,24.3
2007-08,30,BOS,NBA,SF,80,80,2874,6.4,13.8,.464,1.8,4.6,.392,4.6,9.2,.499,5.1,6.1,.843,0.7,4.5,5.1,4.5,1.3,0.5,2.8,2.5,19.7
2008-09,31,BOS,NBA,SF,81,81,3035,6.4,14.0,.457,1.4,3.6,.391,5.0,10.4,.480,5.4,6.6,.830,0.7,4.8,5.4,3.5,0.9,0.3,2.7,2.6,19.7
2009-10,32,BOS,NBA,SF,71,71,2411,6.1,12.9,.472,1.6,3.9,.414,4.5,9.0,.497,5.5,6.5,.852,0.6,4.0,4.6,3.3,1.3,0.5,2.5,2.9,19.4
